Report_Name,Journal Requests (Excluding OA_Gold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_ID,TR_J1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution_Name,Wesleyan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution_ID,rsc:3348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric_Types,Total_Item_Requests; Unique_Item_Requests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_Filters,Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_Attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exceptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting_Period,Begin_Date=2020-07-01; End_Date=2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created,2022-11-18T21:28:16Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created_By,MPS for RSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,Print_ISSN,Online_ISSN,URI,Metric_Type,Reporting_Period_Total,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
Journal of Chemical Research,Royal Society of Chemistry,,pubs.rsc.org,10.1039/13645560/1977,rsc:JC,0308-2342,1364-5560,https://www.rsc.org/publishing/journals/jc/index.asp,Total_Item_Requests,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Chemical Research,Royal Society of Chemistry,,pubs.rsc.org,10.1039/13645560/1977,rsc:JC,0308-2342,1364-5560,https://www.rsc.org/publishing/journals/jc/index.asp,Unique_Item_Requests,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Materials Chemistry,Royal Society of Chemistry,,pubs.rsc.org,10.1039/13645501/1991,rsc:JM,0959-9428,1364-5501,https://www.rsc.org/Publishing/Journals/JM/Index.asp,Total_Item_Requests,75,1,1,0,4,3,3,2,1,2,3,0,5,21,0,0,4,0,8,3,1,6,2,0,5
Journal of Materials Chemistry,Royal Society of Chemistry,,pubs.rsc.org,10.1039/13645501/1991,rsc:JM,0959-9428,1364-5501,https://www.rsc.org/Publishing/Journals/JM/Index.asp,Unique_Item_Requests,45,1,1,0,2,3,2,1,1,2,2,0,3,10,0,0,2,0,4,2,1,4,1,0,3
Journal of Materials Chemistry A,Royal Society of Chemistry,,pubs.rsc.org,10.1039/20507496/2013,rsc:TA,2050-7488,2050-7496,https://pubs.rsc.org/doi/10.1039/20507496/2013,Total_Item_Requests,161,4,1,4,10,14,6,0,1,5,6,6,8,7,6,8,9,11,9,17,5,6,6,8,4
Journal of Materials Chemistry A,Royal Society of Chemistry,,pubs.rsc.org,10.1039/20507496/2013,rsc:TA,2050-7488,2050-7496,https://pubs.rsc.org/doi/10.1039/20507496/2013,Unique_Item_Requests,105,2,1,3,5,10,3,0,1,5,4,4,6,5,4,4,5,8,7,8,5,3,5,4,3
Journal of Materials Chemistry B,Royal Society of Chemistry,,pubs.rsc.org,10.1039/20507518/2013,rsc:TB,2050-750X,2050-7518,https://pubs.rsc.org/doi/10.1039/20507518/2013,Total_Item_Requests,50,2,0,0,15,15,8,0,0,0,0,0,1,0,0,0,3,2,1,2,0,0,1,0,0
Journal of Materials Chemistry B,Royal Society of Chemistry,,pubs.rsc.org,10.1039/20507518/2013,rsc:TB,2050-750X,2050-7518,https://pubs.rsc.org/doi/10.1039/20507518/2013,Unique_Item_Requests,36,1,0,0,10,11,7,0,0,0,0,0,1,0,0,0,2,1,1,1,0,0,1,0,0
Journal of Materials Chemistry C,Royal Society of Chemistry,,pubs.rsc.org,10.1039/20507534/2013,rsc:TC,2050-7526,2050-7534,https://pubs.rsc.org/doi/10.1039/20507534/2013,Total_Item_Requests,77,0,2,0,1,6,3,0,5,3,3,5,6,16,3,0,7,1,4,5,2,0,1,2,2
Journal of Materials Chemistry C,Royal Society of Chemistry,,pubs.rsc.org,10.1039/20507534/2013,rsc:TC,2050-7526,2050-7534,https://pubs.rsc.org/doi/10.1039/20507534/2013,Unique_Item_Requests,55,0,2,0,1,5,3,0,3,2,2,4,5,9,2,0,3,1,4,3,1,0,1,2,2
